"site","year","plot","rep_block","crop","rip","rip_depth","mix","organic","organic_rate","fertiliser","fertiliser_rate","other_ameliorant","other_rate","placement","establishment","yield","dry_biomass","comments...19","old descriptors - to be removed","comments...21","Rip_depth_jax","placement_jax","amendment","Descriptors","Repellence","Acidity","Physical","Nutrient","other","Amelioration_Date","Amelioration_Year","Latitude","Longitude","yr_post_amelioration","sowing_date","harvest_date","previous_crop","site_year","met_name_number","rain","decile","grouping","modification","non_wetting","acidic","physical","rainfall_mean_annual","site_numb"
"Kooloonong_lentil",2019,NA,3,"lentil","rip",500,"none","none","NA","none","NA","none","NA","NA","84.821428571428569","0.37202380952380953","1.2952380952380951",NA,"Ripped No OM",NA,50,NA,"none","Rip.50_none",0,0,2,1,"0",NA,2019,-34.64,143.56,0,2019-05-09,2019-12-02,NA,"Kooloonong_lentil_2019","BALRANALD (RSL)_049002",117.725,"decile 1","deep ripping > 40cm no amendment","deep ripping","green","green","red","323.1","049002"
"Kooloonong_lentil",2019,NA,3,"lentil","rip",500,"none","chicken_compost","5","none","NA","none","NA","surface","117.85714285714285","0.66785714285714304","1.8095238095238091",NA,"Ripped + OM",NA,50,"surface","Cl.surface","Rip.50_Cl.surface",0,0,2,1,"0",NA,2019,-34.64,143.56,0,2019-05-09,2019-12-02,NA,"Kooloonong_lentil_2019","BALRANALD (RSL)_049002",117.725,"decile 1","deep ripping > 40cm amendment","deep ripping","green","green","red","323.1","049002"
"Kooloonong_lentil",2019,NA,4,"lentil","rip",500,"none","none","NA","none","NA","none","NA","NA","79.464285714285708","0.25714285714285712","1.4511904761904759",NA,"Ripped No OM",NA,50,NA,"none","Rip.50_none",0,0,2,1,"0",NA,2019,-34.64,143.56,0,2019-05-09,2019-12-02,NA,"Kooloonong_lentil_2019","BALRANALD (RSL)_049002",117.725,"decile 1","deep ripping > 40cm no amendment","deep ripping","green","green","red","323.1","049002"
"Kooloonong_lentil",2019,NA,4,"lentil","rip",500,"none","chicken_compost","5","none","NA","none","NA","surface","84.821428571428569","0.20833333333333331","1.1505952380952378",NA,"Ripped + OM",NA,50,"surface","Cl.surface","Rip.50_Cl.surface",0,0,2,1,"0",NA,2019,-34.64,143.56,0,2019-05-09,2019-12-02,NA,"Kooloonong_lentil_2019","BALRANALD (RSL)_049002",117.725,"decile 1","deep ripping > 40cm amendment","deep ripping","green","green","red","323.1","049002"
"Kooloonong_lupin",2019,NA,1,"lupin","rip",500,"none","chicken_compost","5","none","NA","none","NA","surface","25.892857142857142","2.138095238095238","6.0529761904761887",NA,"Ripped + OM",NA,50,"surface","Cl.surface","Rip.50_Cl.surface",0,0,2,1,"0",NA,2019,-34.64,143.56,0,2019-05-09,2019-12-02,NA,"Kooloonong_lupin_2019","BALRANALD (RSL)_049002",117.725,"decile 1","deep ripping > 40cm amendment","deep ripping","green","green","red","323.1","049002"
"Kooloonong_lupin",2019,NA,1,"lupin","rip",500,"none","none","NA","none","NA","none","NA","NA","20.535714285714285","2.2160714285714285","7.8208333333333311",NA,"Ripped No OM",NA,50,NA,"none","Rip.50_none",0,0,2,1,"0",NA,2019,-34.64,143.56,0,2019-05-09,2019-12-02,NA,"Kooloonong_lupin_2019","BALRANALD (RSL)_049002",117.725,"decile 1","deep ripping > 40cm no amendment","deep ripping","green","green","red","323.1","049002"
"Kooloonong_lupin",2019,NA,2,"lupin","rip",500,"none","none","NA","none","NA","none","NA","NA","14.285714285714285","2.0220238095238092","3.7619047619047614",NA,"Ripped No OM",NA,50,NA,"none","Rip.50_none",0,0,2,1,"0",NA,2019,-34.64,143.56,0,2019-05-09,2019-12-02,NA,"Kooloonong_lupin_2019","BALRANALD (RSL)_049002",117.725,"decile 1","deep ripping > 40cm no amendment","deep ripping","green","green","red","323.1","049002"
"Kooloonong_lupin",2019,NA,2,"lupin","rip",500,"none","chicken_compost","5","none","NA","none","NA","surface","18.75","1.7940476190476189","7.1434523809523798",NA,"Ripped + OM",NA,50,"surface","Cl.surface","Rip.50_Cl.surface",0,0,2,1,"0",NA,2019,-34.64,143.56,0,2019-05-09,2019-12-02,NA,"Kooloonong_lupin_2019","BALRANALD (RSL)_049002",117.725,"decile 1","deep ripping > 40cm amendment","deep ripping","green","green","red","323.1","049002"
"Kooloonong_lupin",2019,NA,3,"lupin","rip",500,"none","chicken_compost","5","none","NA","none","NA","surface","18.75","1.8928571428571428","3.7488095238095238",NA,"Ripped + OM",NA,50,"surface","Cl.surface","Rip.50_Cl.surface",0,0,2,1,"0",NA,2019,-34.64,143.56,0,2019-05-09,2019-12-02,NA,"Kooloonong_lupin_2019","BALRANALD (RSL)_049002",117.725,"decile 1","deep ripping > 40cm amendment","deep ripping","green","green","red","323.1","049002"
"Kooloonong_lupin",2019,NA,3,"lupin","rip",500,"none","none","NA","none","NA","none","NA","NA","17.857142857142854","2.1946428571428567","5.7607142857142852",NA,"Ripped No OM",NA,50,NA,"none","Rip.50_none",0,0,2,1,"0",NA,2019,-34.64,143.56,0,2019-05-09,2019-12-02,NA,"Kooloonong_lupin_2019","BALRANALD (RSL)_049002",117.725,"decile 1","deep ripping > 40cm no amendment","deep ripping","green","green","red","323.1","049002"
"Kooloonong_lupin",2019,NA,4,"lupin","rip",500,"none","none","NA","none","NA","none","NA","NA","18.75","2.3297619047619045","5.4369047619047617",NA,"Ripped No OM",NA,50,NA,"none","Rip.50_none",0,0,2,1,"0",NA,2019,-34.64,143.56,0,2019-05-09,2019-12-02,NA,"Kooloonong_lupin_2019","BALRANALD (RSL)_049002",117.725,"decile 1","deep ripping > 40cm no amendment","deep ripping","green","green","red","323.1","049002"
"Kooloonong_lupin",2019,NA,4,"lupin","rip",500,"none","chicken_compost","5","none","NA","none","NA","surface","16.071428571428569","2.2130952380952382","6.548214285714284",NA,"Ripped + OM",NA,50,"surface","Cl.surface","Rip.50_Cl.surface",0,0,2,1,"0",NA,2019,-34.64,143.56,0,2019-05-09,2019-12-02,NA,"Kooloonong_lupin_2019","BALRANALD (RSL)_049002",117.725,"decile 1","deep ripping > 40cm amendment","deep ripping","green","green","red","323.1","049002"
"Tempy",2019,NA,1,"barley","rip",500,"none","none","NA","none","NA","none","NA","NA","83.482142857142861","2.3724489795918364","7.0547619047619046",NA,"Deep rip",NA,50,NA,"none","Rip.50_none",1,0,2,1,"0",NA,2019,-35.07,142.31,0,2019-05-22,2019-12-20,NA,"Tempy_2019","OUYEN (POST OFFICE)_076047",149.3,"decile 2","deep ripping > 40cm no amendment","deep ripping","orange","green","red","328.4","076047"
"Tempy",2019,NA,2,"barley","rip",500,"none","none","NA","none","NA","none","NA","NA","75.446428571428569","2.3341836734693882","6.4095238095238081",NA,"Deep rip",NA,50,NA,"none","Rip.50_none",1,0,2,1,"0",NA,2019,-35.07,142.31,0,2019-05-22,2019-12-20,NA,"Tempy_2019","OUYEN (POST OFFICE)_076047",149.3,"decile 2","deep ripping > 40cm no amendment","deep ripping","orange","green","red","328.4","076047"
"Tempy",2019,NA,3,"barley","rip",500,"none","none","NA","none","NA","none","NA","NA","99.553571428571431","2.9039115646258504","6.9178571428571427",NA,"Deep rip",NA,50,NA,"none","Rip.50_none",1,0,2,1,"0",NA,2019,-35.07,142.31,0,2019-05-22,2019-12-20,NA,"Tempy_2019","OUYEN (POST OFFICE)_076047",149.3,"decile 2","deep ripping > 40cm no amendment","deep ripping","orange","green","red","328.4","076047"
"Tempy",2019,NA,4,"barley","rip",500,"none","none","NA","none","NA","none","NA","NA","90.178571428571431","1.6454081632653061","5.201190476190475",NA,"Deep rip",NA,50,NA,"none","Rip.50_none",1,0,2,1,"0",NA,2019,-35.07,142.31,0,2019-05-22,2019-12-20,NA,"Tempy_2019","OUYEN (POST OFFICE)_076047",149.3,"decile 2","deep ripping > 40cm no amendment","deep ripping","orange","green","red","328.4","076047"
"Tempy",2019,NA,1,"barley","rip",500,"none","chicken_compost","5","none","NA","none","NA","deep","106.69642857142857","2.8018707482993199","7.2196428571428566",NA,"Deep rip + Injected OM",NA,50,"deep","Cl.deep","Rip.50_Cl.deep",1,0,2,1,"0",NA,2019,-35.07,142.31,0,2019-05-22,2019-12-20,NA,"Tempy_2019","OUYEN (POST OFFICE)_076047",149.3,"decile 2","deep ripping > 40cm amendment","deep ripping","orange","green","red","328.4","076047"
"Tempy",2019,NA,2,"barley","rip",500,"none","chicken_compost","5","none","NA","none","NA","deep","95.089285714285708","3.1717687074829932","8.3797619047619047",NA,"Deep rip + Injected OM",NA,50,"deep","Cl.deep","Rip.50_Cl.deep",1,0,2,1,"0",NA,2019,-35.07,142.31,0,2019-05-22,2019-12-20,NA,"Tempy_2019","OUYEN (POST OFFICE)_076047",149.3,"decile 2","deep ripping > 40cm amendment","deep ripping","orange","green","red","328.4","076047"
"Tempy",2019,NA,3,"barley","rip",500,"none","chicken_compost","5","none","NA","none","NA","deep","106.25","2.5680272108843538","6.451190476190475",NA,"Deep rip + Injected OM",NA,50,"deep","Cl.deep","Rip.50_Cl.deep",1,0,2,1,"0",NA,2019,-35.07,142.31,0,2019-05-22,2019-12-20,NA,"Tempy_2019","OUYEN (POST OFFICE)_076047",149.3,"decile 2","deep ripping > 40cm amendment","deep ripping","orange","green","red","328.4","076047"
