"site","year","plot","rep_block","crop","rip","rip_depth","mix","organic","organic_rate","fertiliser","fertiliser_rate","other_ameliorant","other_rate","placement","establishment","yield","dry_biomass","comments...19","old descriptors - to be removed","comments...21","Rip_depth_jax","placement_jax","amendment","Descriptors","Repellence","Acidity","Physical","Nutrient","other","Amelioration_Date","Amelioration_Year","Latitude","Longitude","yr_post_amelioration","sowing_date","harvest_date","previous_crop","site_year","met_name_number","rain","decile","grouping","modification","non_wetting","acidic","physical","rainfall_mean_annual","site_numb"
"Kooloonong_chickpea",2019,NA,4,"chickpea","none",NA,"none","chicken_compost","5","none","NA","none","NA","surface","28.571428571428569","0.30119047619047623","1.3386904761904761",NA,"No Rip + OM",NA,NA,"surface","Cl.surface","Unmodified_Cl.surface",0,0,2,1,"0",NA,2019,-34.64,143.56,0,2019-05-09,2019-12-02,NA,"Kooloonong_chickpea_2019","BALRANALD (RSL)_049002",117.725,"decile 1","amendment only","no modification","green","green","red","323.1","049002"
"Kooloonong_chickpea",2019,NA,4,"chickpea","none",NA,"none","none","NA","none","NA","none","NA","NA","26.785714285714285","0.28988095238095235","1.1976190476190476",NA,"No Rip No OM",NA,NA,NA,"none","Control",0,0,2,1,"0",NA,2019,-34.64,143.56,0,2019-05-09,2019-12-02,NA,"Kooloonong_chickpea_2019","BALRANALD (RSL)_049002",117.725,"decile 1","control","control","green","green","red","323.1","049002"
"Kooloonong_chickpea",2019,NA,4,"chickpea","rip",500,"none","none","NA","none","NA","none","NA","NA","31.249999999999996","1.0511904761904762","3.1148809523809526",NA,"Ripped No OM",NA,50,NA,"none","Rip.50_none",0,0,2,1,"0",NA,2019,-34.64,143.56,0,2019-05-09,2019-12-02,NA,"Kooloonong_chickpea_2019","BALRANALD (RSL)_049002",117.725,"decile 1","deep ripping > 40cm no amendment","deep ripping","green","green","red","323.1","049002"
"Kooloonong_chickpea",2019,NA,4,"chickpea","rip",500,"none","chicken_compost","5","none","NA","none","NA","surface","30.357142857142854","1.2190476190476189","3.7565476190476188",NA,"Ripped + OM",NA,50,"surface","Cl.surface","Rip.50_Cl.surface",0,0,2,1,"0",NA,2019,-34.64,143.56,0,2019-05-09,2019-12-02,NA,"Kooloonong_chickpea_2019","BALRANALD (RSL)_049002",117.725,"decile 1","deep ripping > 40cm amendment","deep ripping","green","green","red","323.1","049002"
"Kooloonong_lentil",2019,NA,1,"lentil","none",NA,"none","none","NA","none","NA","none","NA","NA","89.285714285714278","0.16309523809523807","1.0279761904761904",NA,"No Rip No OM",NA,NA,NA,"none","Control",0,0,2,1,"0",NA,2019,-34.64,143.56,0,2019-05-09,2019-12-02,NA,"Kooloonong_lentil_2019","BALRANALD (RSL)_049002",117.725,"decile 1","control","control","green","green","red","323.1","049002"
"Kooloonong_lentil",2019,NA,1,"lentil","none",NA,"none","chicken_compost","5","none","NA","none","NA","surface","83.928571428571416","0.13273809523809524","0.6410714285714284",NA,"No Rip + OM",NA,NA,"surface","Cl.surface","Unmodified_Cl.surface",0,0,2,1,"0",NA,2019,-34.64,143.56,0,2019-05-09,2019-12-02,NA,"Kooloonong_lentil_2019","BALRANALD (RSL)_049002",117.725,"decile 1","amendment only","no modification","green","green","red","323.1","049002"
"Kooloonong_lentil",2019,NA,1,"lentil","rip",500,"none","chicken_compost","5","none","NA","none","NA","surface","93.75","0.5714285714285714","1.6928571428571428",NA,"Ripped + OM",NA,50,"surface","Cl.surface","Rip.50_Cl.surface",0,0,2,1,"0",NA,2019,-34.64,143.56,0,2019-05-09,2019-12-02,NA,"Kooloonong_lentil_2019","BALRANALD (RSL)_049002",117.725,"decile 1","deep ripping > 40cm amendment","deep ripping","green","green","red","323.1","049002"
"Kooloonong_lentil",2019,NA,1,"lentil","rip",500,"none","none","NA","none","NA","none","NA","NA","93.75","0.66071428571428581","2.2291666666666665",NA,"Ripped No OM",NA,50,NA,"none","Rip.50_none",0,0,2,1,"0",NA,2019,-34.64,143.56,0,2019-05-09,2019-12-02,NA,"Kooloonong_lentil_2019","BALRANALD (RSL)_049002",117.725,"decile 1","deep ripping > 40cm no amendment","deep ripping","green","green","red","323.1","049002"
"Kooloonong_lentil",2019,NA,2,"lentil","rip",500,"none","chicken_compost","5","none","NA","none","NA","surface","75.892857142857139","0.46607142857142858","1.4672619047619047",NA,"Ripped + OM",NA,50,"surface","Cl.surface","Rip.50_Cl.surface",0,0,2,1,"0",NA,2019,-34.64,143.56,0,2019-05-09,2019-12-02,NA,"Kooloonong_lentil_2019","BALRANALD (RSL)_049002",117.725,"decile 1","deep ripping > 40cm amendment","deep ripping","green","green","red","323.1","049002"
"Kooloonong_lentil",2019,NA,2,"lentil","rip",500,"none","none","NA","none","NA","none","NA","NA","98.214285714285708","0.78035714285714275","2.3565476190476189",NA,"Ripped No OM",NA,50,NA,"none","Rip.50_none",0,0,2,1,"0",NA,2019,-34.64,143.56,0,2019-05-09,2019-12-02,NA,"Kooloonong_lentil_2019","BALRANALD (RSL)_049002",117.725,"decile 1","deep ripping > 40cm no amendment","deep ripping","green","green","red","323.1","049002"
"Kooloonong_lentil",2019,NA,2,"lentil","none",NA,"none","none","NA","none","NA","none","NA","NA","91.964285714285708","8.5714285714285715E-2","0.62738095238095226",NA,"No Rip No OM",NA,NA,NA,"none","Control",0,0,2,1,"0",NA,2019,-34.64,143.56,0,2019-05-09,2019-12-02,NA,"Kooloonong_lentil_2019","BALRANALD (RSL)_049002",117.725,"decile 1","control","control","green","green","red","323.1","049002"
"Kooloonong_lentil",2019,NA,2,"lentil","none",NA,"none","chicken_compost","5","none","NA","none","NA","surface","86.607142857142847","0.19404761904761902","1.0708333333333333",NA,"No Rip + OM",NA,NA,"surface","Cl.surface","Unmodified_Cl.surface",0,0,2,1,"0",NA,2019,-34.64,143.56,0,2019-05-09,2019-12-02,NA,"Kooloonong_lentil_2019","BALRANALD (RSL)_049002",117.725,"decile 1","amendment only","no modification","green","green","red","323.1","049002"
"Kooloonong_lentil",2019,NA,3,"lentil","none",NA,"none","chicken_compost","5","none","NA","none","NA","surface","80.357142857142847","3.9285714285714292E-2","0.52499999999999991",NA,"No Rip + OM",NA,NA,"surface","Cl.surface","Unmodified_Cl.surface",0,0,2,1,"0",NA,2019,-34.64,143.56,0,2019-05-09,2019-12-02,NA,"Kooloonong_lentil_2019","BALRANALD (RSL)_049002",117.725,"decile 1","amendment only","no modification","green","green","red","323.1","049002"
"Kooloonong_lentil",2019,NA,3,"lentil","none",NA,"none","none","NA","none","NA","none","NA","NA","90.178571428571416","0.10833333333333331","0.93809523809523798",NA,"No Rip No OM",NA,NA,NA,"none","Control",0,0,2,1,"0",NA,2019,-34.64,143.56,0,2019-05-09,2019-12-02,NA,"Kooloonong_lentil_2019","BALRANALD (RSL)_049002",117.725,"decile 1","control","control","green","green","red","323.1","049002"
"Kooloonong_lentil",2019,NA,3,"lentil","rip",500,"none","none","NA","none","NA","none","NA","NA","84.821428571428569","0.37202380952380953","1.2952380952380951",NA,"Ripped No OM",NA,50,NA,"none","Rip.50_none",0,0,2,1,"0",NA,2019,-34.64,143.56,0,2019-05-09,2019-12-02,NA,"Kooloonong_lentil_2019","BALRANALD (RSL)_049002",117.725,"decile 1","deep ripping > 40cm no amendment","deep ripping","green","green","red","323.1","049002"
"Kooloonong_lentil",2019,NA,3,"lentil","rip",500,"none","chicken_compost","5","none","NA","none","NA","surface","117.85714285714285","0.66785714285714304","1.8095238095238091",NA,"Ripped + OM",NA,50,"surface","Cl.surface","Rip.50_Cl.surface",0,0,2,1,"0",NA,2019,-34.64,143.56,0,2019-05-09,2019-12-02,NA,"Kooloonong_lentil_2019","BALRANALD (RSL)_049002",117.725,"decile 1","deep ripping > 40cm amendment","deep ripping","green","green","red","323.1","049002"
"Kooloonong_lentil",2019,NA,4,"lentil","none",NA,"none","chicken_compost","5","none","NA","none","NA","surface","84.821428571428569","3.3333333333333326E-2","0.47559523809523802",NA,"No Rip + OM",NA,NA,"surface","Cl.surface","Unmodified_Cl.surface",0,0,2,1,"0",NA,2019,-34.64,143.56,0,2019-05-09,2019-12-02,NA,"Kooloonong_lentil_2019","BALRANALD (RSL)_049002",117.725,"decile 1","amendment only","no modification","green","green","red","323.1","049002"
